13:31:12,141 02/11/2020 >> Att configurações.vi >> Atualizado Seção: Simulações Chave: Nível QualidadeValor:Ótima 
13:31:12,143 02/11/2020 >> Att configurações.vi >> Atualizado Seção: Simulações Chave: TurnoValor:Turno 2 
13:31:16,761 02/11/2020 >> Att configurações.vi >> Atualizado Seção: Simulações Chave: Nível QualidadeValor:Aceitável 
13:31:16,761 02/11/2020 >> Att configurações.vi >> Atualizado Seção: Simulações Chave: TurnoValor:Turno 2 
13:31:22,730 02/11/2020 >> Main.vi >> Botão Sair pressionado 
13:31:28,883 02/11/2020 >> Main.vi >> Botão Sair pressionado 
13:42:44,391 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> Atualizado Seção: Simulações Chave: Nível QualidadeValor:Ótima 
13:42:44,391 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> Atualizado Seção: Simulações Chave: TurnoValor:Turno 2 
13:42:51,490 02/11/2020 >> Main.vi >> Botão Sair pressionado 
13:45:15,234 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> CRIADO: Seção: Simulações, Chave: Turno, Valor:Turno 2 
13:45:15,234 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> CRIADO: Seção: Simulações, Chave: Nível Qualidade, Valor:Ótima 
13:45:17,198 02/11/2020 >> Main.vi >> Botão Sair pressionado 
15:29:53,682 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURASeção: Simulações, Chave: Turno, Valor:Turno 1 
15:29:53,681 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURASeção: Simulações, Chave: Nível Qualidade, Valor:Ruim 
15:30:49,022 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURASeção: Simulações, Chave: Turno, Valor:Turno 1 
15:30:49,022 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURASeção: Simulações, Chave: Nível Qualidade, Valor:Ótima 
15:30:49,025 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Nível Qualidade, Valor:Ótima 
15:30:49,026 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Turno, Valor:Turno 1 
15:30:58,400 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Nível Qualidade, Valor:Ruim 
15:30:58,402 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Turno, Valor:Turno 2 
15:31:02,075 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Nível Qualidade, Valor:Aceitável 
15:31:02,075 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Turno, Valor:Turno 2 
15:31:05,254 02/11/2020 >> Main.vi >> Botão Sair pressionado 
15:32:15,764 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURASeção: Simulações, Chave: Turno, Valor:Turno 2 
15:32:15,764 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURASeção: Simulações, Chave: Nível Qualidade, Valor:Ruim 
15:32:15,773 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Nível Qualidade, Valor:Ótima 
15:32:15,774 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Turno, Valor:Turno 1 
15:32:35,688 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Nível Qualidade, Valor:Ótima 
15:32:35,688 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Turno, Valor:Turno 2 
15:32:40,803 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Nível Qualidade, Valor:Aceitável 
15:32:40,804 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Turno, Valor:Turno 2 
15:32:52,887 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Nível Qualidade, Valor:Ótima 
15:32:52,887 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Turno, Valor:Turno 2 
15:33:06,931 02/11/2020 >> Main.vi >> Botão Sair pressionado 
15:33:59,586 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURASeção: Simulações, Chave: Turno, Valor:Turno 2 
15:33:59,586 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURASeção: Simulações, Chave: Nível Qualidade, Valor:Ruim 
15:33:59,594 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Nível Qualidade, Valor:Ótima 
